,Dataset: KELLEY-1977,,,,,,,
,Data From (Title): Quality-Quantity Tradeoffs: A Historical,,,,,,,
,,Analysis of Air Combat. ,,,,,,
,"Author: Kelley, C.T., et al.",,,,,,,
,Organization: The RAND Corporation.,,,,,,,
,"Address: Santa Monica, CA.",,,,,,,
,Publication Date: April 1977.,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,
,Source Available From: DTIC as AD-C010 504.,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,
,Spreadsheet last revised: 30 October 1993,,,,,,,
-,-,-,-,-,-,-,-,-
,,,,,,,,
,"Korean Combat Data, Based on Fifth Air Force Intelligence Summaries.",,,,,,,
,,,,,,,,
-,-,-,-,-,-,,,
,,No. of Aircraft,,Aircraft Losses,,,,
No.,Date,US,NK,US,NK,,,
-,-,-,-,-,-,,,
112,02/21/1952,27,24,0,2,,,
113,02/22/1952,2,10,0,0.5,,,
114,02/23/1952,2,7,0.5,2,,,
115,03/01/1952,47,30,0,1,,,
116,03/03/1952,2,1,0,1,,,
117,03/04/1952,2,1,0,0.5,,,
118,03/05/1952,46,20,0,5.5,,,
119,03/06/1952,2,1,0,1,,,
120,03/10/1952,15,37,0.5,7.5,,,
121,03/11/1952,2,6,0,1,,,
122,03/12/1952,16,24,0,5,,,
123,05/01/1952,27,12,0,0.5,,,
124,05/02/1952,2,4,0,0.5,,,
125,05/03/1952,15,32,1,3,,,
126,05/04/1952,59,26,0,4,,,
127,05/05/1952,2,6,0,0.5,,,
128,05/06/1952,4,2,0,0,,,
129,05/08/1952,4,9,0,1.5,,,
130,05/09/1952,2,2,0,0,,,
131,05/11/1952,19,6,0,1,,,
132,05/13/1952,44,14,0,2,,,
133,05/13/1952,4,8,0,2,,,
134,05/13/1952,40,28,0.5,3.5,,,
135,05/13/1952,8,6,0,1,,,
136,05/15/1952,8,7,0,3,,,
137,05/15/1952,4,4,1,0,,,
138,05/17/1952,8,11,0,0,,,
139,05/18/1952,2,2,1,0,,,
140,05/20/1952,10,15,2,4.5,,,
141,05/21/1952,15,17,1,0.5,,,
142,05/25/1952,18,10,0.5,3,,,
