,Dataset: Berndt-1993,,,,,,,,,,,,,,,,
,Data From (Title): Die Zahl im Kriege: Statistiche,,,,,,,,,,,,,,,,
,,Daten aus der Neuren Kriegsgeschichte in Graphischer,,,,,,,,,,,,,,,
,,Darstellung.,,,,,,,,,,,,,,,
,"Author: Berndt, Otto.",,,,,,,,,,,,,,,,
,"Organization: G. Freytag & Berndt, publishers.",,,,,,,,,,,,,,,,
,"Address: Vienna, Austria.",,,,,,,,,,,,,,,,
,Publication Date: 1897.,,,,,,,,,,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,,,,,,,,,,
,Source Available From: Libraries.,,,,,,,,,,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,,,,,,,,,,
,Spreadsheet Last Revised: 30 October 1993,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,Initial,Initial,Victor,,,Loser,,,,,
,,,,,,,Victor,Loser,Bloody,Victor,Victor,Bloody,Loser,Loser,Battle,Winner,Loser
Seq.,Battle,Start,Start,Start ,Victor,Loser,Strength,Strength,Losses,CMIA,Total,Losses,CMIA,Total,Duration,Bloody,Bloody
No.,Name,Year,Month,Day,ID,ID,(V0),(L0),Cv,Losses,Losses,Cl,Losses,Losses,(Hours),Fraction,Fraction
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Gross-Beeren,1813,8,23,Allies,France,31500,17200,1000,??,#VALUE!,1500,1600,3100,3,0.0317460317460317,0.0872093023255814
35,Dennewitz,1813,9,6,Allies,France,54000,58000,7300,2200,9500,10000,13000,23000,7,0.135185185185185,0.172413793103448
36,Leipzig,1813,10,16,Allies,France,301500,171000,48000,5000,53000,45000,15000,60000,??,0.159203980099502,0.263157894736842
37,La Rothiere,1814,2,1,Allies,France,79300,41000,??,??,4660,5000,6000,11000,7,#VALUE!,0.121951219512195
38,Laon,1814,3,9,Allies,France,60000,52000,8000,??,#VALUE!,12000,??,#VALUE!,10,0.133333333333333,0.230769230769231
39,Ligny,1815,6,16,France,Prussia,78250,87350,??,??,11500,??,??,18000,7,#VALUE!,#VALUE!
40,Waterloo,1815,6,18,Allies,France,145200,72250,15100,7000,22100,24000,7000,31000,8,0.103994490358127,0.332179930795848
41,Kulewtscha,1829,6,11,Russia,Turkey,28000,40000,2500,??,#VALUE!,3000,2000,5000,6,0.0892857142857143,0.075
42,Ostrolenka,1831,5,26,Russia,Poland,35000,33200,4870,??,#VALUE!,8270,??,#VALUE!,11,0.139142857142857,0.249096385542169
43,Grochow-Bialolenka,1831,2,25,Russia,Poland,53775,56000,9400,??,#VALUE!,??,??,12000,7.5,0.174802417480242,#VALUE!
44,St. Lucia,1848,5,6,Austria,Piedmont,19000,41000,??,??,350,760,1200,1960,7,#VALUE!,0.0185365853658537
