"seqno","page","item","type","battle_name",,,,,,,"duration","winner_a","winner_b","loser_a","loser_b","winner_personnel","winner_main_ships","winner_other_ships","winner_cannon","loser_personnel","loser_main_ships","loser_other_ships","loser_cannon","winner_dead","winner_wounded","winner_bloody","winner_miapow","winner_losses","winner_main_ship_losses","winner_other_ship_loses","winner_cannon_losses","loser_dead","loser_wounded","loser_bloody","loser_miapow","loser_losses","loser_main_ship_losses","loser_other_ship_loses","loser_cannon_losses","winne_loss_fraction","loser_loss_fraction","winner_tbc_fraction","loser_tbc_fraction"
28,89,2,"Seeschlacht","Lowestoft",1666,6,10,1666,6,14,5,"Holland",,"England",,22000,71,25,4615,21000,65,25,4460,,,3000,0,3000,4,0,146,,,6000,3000,9000,23,0,986,0.1363636364,0.2857142857,0.1363636364,0.4285714286
29,90,2,"Seeschlacht","North Foreland",1666,7,25,1666,7,25,1,"England",,"Holland",,25000,81,18,4460,26000,88,30,4704,,,1000,0,1000,2,,98,,,6000,1000,7000,20,,1000,0.04,0.2307692308,0.04,0.2692307692
30,91,2,"Seeschlacht","Fodella",1668,3,8,1668,3,8,1,"Venice",,"Turkey",,3000,13,0,,4000,12,0,,,,1200,0,1200,,,,,,2000,1500,3500,,,,0.4,0.5,0.4,0.875
31,91,3,"Seetreffen","Chatham (Sheerness)",1667,6,20,1667,6,20,1,"Holland",,"England",,,70,,,,,,,,,,,100,0,8,,,,,,,8,8,700,,,,
32,92,1,"Seeschlacht","Southwold (Sole-bay)",1672,6,7,1672,6,7,1,"Holland",,"England","France",21000,75,36,4484,35000,98,30,6018,,,2600,400,3000,3,,158,,,5500,1500,7000,8,,500,0.1238095238,0.1571428571,0.1428571429,0.2
33,92,2,"Seeschlacht","Schoonefeldt-Bank (Walchern)",1673,6,7,1673,6,7,1,"Holland",,"England","France",19000,52,51,4000,28000,81,52,5000,,,400,,,0,0,0,,,3000,,,3,11,300,0.0210526316,0.1071428571,,
34,93,1,"Seeschlacht","Schoonefeldt-Bank (Walchern)",1673,6,14,1673,6,14,1,"Holland",,"England","France",18000,52,42,3800,25000,77,39,4700,,,200,,,0,0,0,,,1000,,,3,,200,0.0111111111,0.04,,
35,94,1,"Seeschlacht","Kamperduin (Texel)",1673,8,21,1673,8,21,1,"Holland",,"England","France",21000,75,43,4500,32000,104,46,6000,,,500,,,0,0,0,,,3000,,,6,,400,0.0238095238,0.09375,,
36,96,3,"Seeschlacht","Messina",1675,2,11,1675,2,11,1,"France",,"Spain",,8000,15,8,960,14000,20,17,1380,,,,,600,,,,,,,,1400,4,,256,,,0.075,0.1
37,98,1,"Seeschlacht","Stromboli",1676,1,8,1676,1,8,1,"France",,"Holland","Spain",8000,20,6,1264,9000,18,15,1400,,,1400,,,1,,,,,1600,,,1,,,0.175,0.1777777778,,
38,98,2,"Seeschlacht","Agosta",1676,4,22,1676,4,22,1,"France",,"Holland","Spain",11000,30,8,2172,12000,27,18,2080,,,2000,,,,,,,,2000,,,,,,0.1818181818,0.1666666667,,
39,99,1,"Seeschlacht","Palermo",1676,6,1,1676,6,1,1,"France",,"Spain","Holland",10000,30,9,2180,13000,27,23,2200,,,500,0,500,0,0,0,,,3000,1000,4000,12,5,700,0.05,0.2307692308,0.05,0.3076923077
40,99,2,"Seeschlacht","Oeland",1676,6,11,1676,6,11,1,"Denmark","Holland","Sweden",,15000,32,2,2200,20000,44,0,3000,,,1000,0,1000,0,0,0,,,2600,1400,4000,10,,710,0.0666666667,0.13,0.0666666667,0.2
41,101,3,"Seetreffen","Tabago",1677,5,3,1677,5,3,1,"France",,"Holland",,3500,6,4,520,4000,10,3,650,,,1200,0,1200,4,,240,,,1800,,,10,,600,0.3428571429,0.45,0.3428571429,
42,102,2,"Seeschlacht","Kjoger-Bucht",1677,7,1,1677,7,1,1,"Denmark","Holland","Sweden",,6500,25,0,1267,9000,36,0,1804,,,300,0,300,,,,,,2000,2500,4500,10,,600,0.0461538462,0.2222222222,0.0461538462,0.5
43,109,3,"Seetreffen","Bantry",1689,5,10,1689,5,10,1,"France",,"England",,8000,24,12,1500,6000,18,4,1094,,,,,,0,0,0,,,,,,0,0,0,,,,
44,112,2,"Seeschlacht","Beachy Head (Cap Beveziers)",1690,7,10,1690,7,10,1,"France",,"England","Holland",28000,68,43,4646,22000,56,20,3696,,,,,1000,0,0,0,,,,,4000,10,,690,,,0.0357142857,0.1818181818
45,116,1,"Seeschlacht","La Hougue (Barfleur)",1692,5,28,1692,6,1,5,"England","Holland","France",,40000,99,36,6756,20000,44,13,3240,,,,,5000,2,,130,,,,,5000,15,,1242,,,0.125,0.25
46,117,2,"Seetreffen","Cap Sao Vicente (Saint Vincent)",1693,6,28,1693,6,28,1,"France",,"England","Holland",30000,90,0,5000,15000,21,116,2000,,,500,0,500,0,0,0,,,2500,2000,4500,3,71,800,0.0166666667,0.1666666667,0.0166666667,0.3
47,129,1,"Seeschlacht","Vigo",1702,10,14,1702,10,14,1,"England","Holland","France","Spain",13000,25,18,2010,9000,18,23,1132,,,1000,0,1000,0,0,0,,,2000,3500,5500,18,18,1132,0.0769230769,0.2222222222,0.0769230769,0.6111111111
48,138,2,"Seeschlacht","Velez-Malaga",1704,8,24,1704,8,24,1,"France",,"England","Holland",24000,49,43,3543,18000,44,11,2935,,,2200,0,2200,0,0,0,,,2800,0,2800,1,,64,0.0916666667,0.1555555556,0.0916666667,0.1555555556
49,141,1,"Seetreffen","Gibraltar",1705,3,21,1705,3,21,1,"England","Holland","France",,13500,35,0,2000,2500,5,0,336,,,400,0,400,2,,,,,600,1000,1600,5,,336,0.0296296296,0.24,0.0296296296,0.64
50,157,1,"Seetreffen","Kap Lizard",1708,10,10,1708,10,10,1,"France",,"England",,5000,12,0,600,2800,5,0,366,,,300,0,300,0,0,0,,,800,1500,2300,4,,300,0.06,0.2857142857,0.06,0.8214285714
51,171,2,"Seetreffen","Hangoudd",1714,7,7,1714,7,7,1,"Russia",,"Sweden",,9000,115,0,1000,2400,17,0,116,,,600,,,0,0,0,,,400,2000,2400,17,0,116,0.0666666667,0.1666666667,,1
52,174,3,"Seeschlacht","Tenedos",1717,6,12,1717,6,12,1,"Venice",,"Turkey",,,50,24,,,42,,,,,,,,,,,,,,,,,,,,,,
53,176,1,"Seeschlacht","Kap Passero",1718,8,11,1718,8,11,1,"England",,"Spain",,9000,22,7,1444,9000,23,24,1320,,,500,0,500,0,0,0,,,2400,3600,6000,14,13,904,0.0555555556,0.2666666667,0.0555555556,0.6666666667
54,196,3,"Seeschlacht","Toulon",1744,2,13,1744,2,13,1,"England",,"Spain","France",18000,35,5,2588,18000,28,8,1934,,,500,,,0,0,0,,,500,,,1,,60,0.0277777778,0.0277777778,,
55,208,2,"Seegefecht","Negapatam",1746,7,6,1746,7,6,1,"France",,"England",,2200,1,8,310,,6,0,,,,,,,,,,,,,,,,,,,,,
